uuid|firstname|lastname|surname|gender|admno|year|dob|bcertno|admissiondate
FD11FF19-9779-492A-B492-A9EF7981D041|Carter|Quyn|Murphy|MALE|A147|2015|1994|KQEKQKE|Sat Dec 06 22:00:42 EAT 2014
A5E45BB0-9967-40A2-9C2C-79F19E177293|Solomon|Kasper|Kim|MALE|A148|2015|1998|HHDJWQ|Sat Dec 06 22:00:42 EAT 2015
A5E23A8B-43AF-4E49-B042-D5249B3C5F10|Julian|Ayanna|Kai|MALE|A149|2015|1993|LQQKEDD|Sat Dec 06 22:00:42 EAT 2013
4AD67BE1-5988-497E-B785-4D92C3D2E4E3|Leo|Arthur|Dara|MALE|A150|2015|1992|MQQLLELKJD|Sat Dec 06 22:00:42 EAT 2014
6A9A396F-48C5-4C37-99F7-EA796E7A8EFA|Abraham|Lydia|Angela|MALE|A151|2015|1993|NWJWKKEKK|Sat Dec 06 22:00:42 EAT 2015
D2A2101C-108F-40CE-B9F0-8F50585EAE73|Timothy|Holmes|Chadwick|MALE|A152|2015|1990|PQQKAKJ|Sat Dec 06 22:00:42 EAT 2014
DE6780A4-4FF5-4242-B89F-92883D0F1C7E|Paul|Ronan|Ralph|MALE|A153|2015|1995|NXCVNMSK|Sat Dec 06 22:00:42 EAT 2013
9046717D-4497-4519-9247-6AFFD17706A4|Reese|Amethyst|Bert|MALE|A154|2015|1990|CVJWSW|Sat Dec 06 22:00:42 EAT 2015
43FE5177-1EF4-4E31-851E-83D9C7A53576|Brett|Marcia|Garrett|MALE|A155|2015|1996|VBSNWW|Sat Dec 06 22:00:42 EAT 2014
B2F438B8-02E5-4F8D-9423-804DAC940AFE|Salvador|Jason|Alvin|MALE|A156|2015|1990|HJANSS|Sat Dec 06 22:00:42 EAT 2015
322F745A-2811-4904-81C8-5270384558CA|Thaddeus|Taylor|Gil|MALE|A157|2015|1994|MMMSMSJW|Sat Dec 06 22:00:42 EAT 2014
ADF40FA4-247B-4238-91B4-F2BD8D1EDFA5|Brent|Orson|Elvis|MALE|A158|2015|1998|ZXCZVCVVX|Sat Dec 06 22:00:42 EAT 2015
2D2DCD6D-A158-4F8A-9AF2-A0B9B2C2FC98|Kadeem|Finn|Octavia|MALE|A159|2015|1993|CVXXX|Sat Dec 06 22:00:42 EAT 2013
CD963199-6BC5-40D6-8F9C-90C6A7E7A01D|Merrill|Xanthus|Whilemina|MALE|A160|2015|1992|VCCC|Sat Dec 06 22:00:42 EAT 2014
BF980B53-D306-4E44-B467-7BC77B5DE031|Burton|Haley|Audrey|MALE|A161|2015|1993|BDDDDD|Sat Dec 06 22:00:42 EAT 2015
8B7745CC-3E7F-42AC-A5C6-A8168D582C65|Merrill|Noelle|Clementine|MALE|A162|2015|1990|HNXNXNX|Sat Dec 06 22:00:42 EAT 2014
10FD4406-E546-4D6B-8346-A9CB66D2B5A9|Merrill|Stephanie|Irma|MALE|A163|2015|1995|NMCBCBC|Sat Dec 06 22:00:42 EAT 2013
6C68B7CE-18ED-4E11-93D4-13ED8A791266|Theodore|Cynthia|Amir|MALE|A164|2015|1990|BNXXMXM|Sat Dec 06 22:00:42 EAT 2015
344180F5-69C2-458D-8A76-A13838245EC7|Yasir|Joshua|Olga|MALE|A165|2015|1996|MMDNSS|Sat Dec 06 22:00:42 EAT 2014
5C88EFC9-8683-491F-8FEF-10502B89B05E|Herrod|MacKenzie|Ulla|MALE|A166|2015|1990|JJSSS|Sat Dec 06 22:00:42 EAT 2015
8DCF543F-0B58-4980-AEBE-83DF7AD2D01A|Aristotle|Aladdin|Grant|MALE|A167|2015|1994|LASDNH|Sat Dec 06 22:00:42 EAT 2014
20D06F8E-CB52-43B4-A363-AB36967652B1|Cadman|Shaine|Larissa|MALE|A168|2015|1998|ZXCBA|Sat Dec 06 22:00:42 EAT 2015
426C6295-5A10-41E4-A442-02A651F24FBC|William|Jolene|Leah|MALE|A169|2015|1993| NNDHJS|Sat Dec 06 22:00:42 EAT 2013
AD72ED57-A90F-4B28-9D7A-04A7E6DFA7CF|Blaze|Kylee|Sandra|MALE|A170|2015|1992|GJHNMXSK|Sat Dec 06 22:00:42 EAT 2014
89CA307F-ACF8-4B02-9D6E-D4662CBF0F88|Eric|Hayes|Iola|MALE|A171|2015|1993|KOIWERTXS|Sat Dec 06 22:00:42 EAT 2015
CC34441F-500E-46E6-A868-93E6E6EE6431|Benjamin|Dennis|Xena|MALE|A172|2015|1990|TAAMQMWJD|Sat Dec 06 22:00:42 EAT 2014
279EAFA6-137D-4854-84B3-CA9E15C2312D|Noble|Nathan|Anthony|MALE|A173|2015|1995|BNSMS|Sat Dec 06 22:00:42 EAT 2013
1B85352D-1777-4C62-8689-638018390F25|Luke|Nayda|Cheryl|MALE|A174|2015|1990|POWJWNS|Sat Dec 06 22:00:42 EAT 2015
4ADD0497-B256-4074-B487-CE91AD01B7F1|Harlan|Brock|Leslie|MALE|A175|2015|1996|JHWUWW|Sat Dec 06 22:00:42 EAT 2014
97886E12-50D6-4728-B2F7-C65544769FEA|Ross|Quinn|Thomas|MALE|A176|2015|1990|KKIWWW|Sat Dec 06 22:00:42 EAT 2015
0A933196-2032-4E0A-B027-C7855D2E7B83|Mufutau|Lilah|Evelyn|MALE|A177|2015|1994|JWWW|Sat Dec 06 22:00:42 EAT 2014
E2143967-AC1A-4E52-9D3E-7A5ECDEEBE54|Benedict|Priscilla|Shelley|MALE|A178|2015|1998|LLWJKWE|Sat Dec 06 22:00:42 EAT 2015
959B8D81-57D8-4FB2-8E01-BACA59B1DB85|Ishmael|Ezra|Nomlanga|MALE|A179|2015|1993|SHHSHW|Sat Dec 06 22:00:42 EAT 2013
37929926-C41C-41FC-B56A-BA5605E3DF8B|Uriel|Maris|Avram|MALE|A180|2015|1992|WHHWHHHQ2|Sat Dec 06 22:00:42 EAT 2014
C6C2A82D-0057-445F-ABC0-CA9556FDEC66|Rajah|Hanna|Mariko|MALE|A181|2015|1993|HSHSHHDHS|Sat Dec 06 22:00:42 EAT 2015
30054B93-C6BC-4E40-86C8-B6C8B4D31FFF|Jared|Dieter|Willa|MALE|A182|2015|1990|HAHHSH|Sat Dec 06 22:00:42 EAT 2014
75364A7F-3318-4657-B822-43B3B03AC082|Carson|Shellie|Meredith|MALE|A183|2015|1995|IQJJWH|Sat Dec 06 22:00:42 EAT 2013
405C767B-31A2-41AA-975F-C6C6FD093CED|Octavius|Cora|Winifred|MALE|A184|2015|1990|KQJJWHE|Sat Dec 06 22:00:42 EAT 2015
77D0FD40-AA44-4123-9127-237329E399B4|Kennedy|Aaron|Sage|MALE|A185|2015|1996|JQAJJJJ|Sat Dec 06 22:00:42 EAT 2014
58DD73DC-7DB9-46AE-879F-19A145F48C44|Gray|Theodore|Inez|MALE|A186|2015|1990|JAAJW|Sat Dec 06 22:00:42 EAT 2015
4DA2F4E9-6066-4E7E-9720-A7C537CA68FD|Ferris|Charity|Eve|MALE|A187|2015|1994|QHWJE|Sat Dec 06 22:00:42 EAT 2014
7B8C9862-BE38-4C19-B978-4F2D516264E8|Cooper|Hanae|Boris|MALE|A188|2015|1998|WHWEEW|Sat Dec 06 22:00:42 EAT 2015
160598CA-40D2-451D-83A2-B206444FBEB1|Ignatius|Dalton|Avye|MALE|A189|2015|1993|jkajhe|Sat Dec 06 22:00:42 EAT 2013
DF2E1067-D7AE-4267-ADF6-7A0E00580395|Vaughan|Cruz|Kylan|MALE|A190|2015|1992|HWHHE|Sat Dec 06 22:00:42 EAT 2014
E2C76120-6210-4382-87EB-D1831194CEAC|Malcolm|Candace|Hop|MALE|A191|2015|1993|OQIQJHE|Sat Dec 06 22:00:42 EAT 2015
A7DB662A-F029-4E61-B9DA-8F8FBB6E9C2B|Wyatt|Rama|Brenda|MALE|A192|2015|1990|JWJ1JI78|Sat Dec 06 22:00:42 EAT 2014
7EB28850-D359-447E-8A0E-772B53E56928|Mufutau|Dacey|Cailin|MALE|A193|2015|1995|7UWNSY|Sat Dec 06 22:00:42 EAT 2013
109E2190-1376-42E3-A1E3-CF3BBB3562C0|Victor|Macon|Caryn|MALE|A194|2015|1990|0912U8|Sat Dec 06 22:00:42 EAT 2015
BF417051-B59C-436F-A2D6-7882E12DFB2E|Daquan|Neville|Barry|MALE|A195|2015|1996|826YHE|Sat Dec 06 22:00:42 EAT 2014
A9B53E30-7945-4B3A-BCB5-735D45F7D90C|Todd|Joan|Sydnee|MALE|A196|2015|1990|5GWJWH|Sat Dec 06 22:00:42 EAT 2015
1274712B-8FD9-4E15-9920-98A1DB642CF3|Harper|Ursa|Lisandra|MALE|A197|2015|1994|7WSJJWHE|Sat Dec 06 22:00:42 EAT 2014
225FFAC7-C157-4775-9858-174D0FBCDC83|Cairo|Xanthus|Slade|MALE|A198|2015|1998|JWJHE7723|Sat Dec 06 22:00:42 EAT 2015
72E60D8A-A375-4248-9E8A-7AC5133138BD|Carlos|Zephr|Peter|MALE|A199|2015|1993|77WHHEHW|Sat Dec 06 22:00:42 EAT 2013
2EBB8D57-A3C7-4904-93D6-A6EBA2044917|Upton|Ronan|Charissa|MALE|A100|2015|1992|AJSJFIE|Sat Dec 06 22:00:42 EAT 2014
DCDDF517-3F74-4765-92D3-56F01EDA4799|Geoffrey|Edan|Hedy|MALE|A201|2015|1993|OAJHDD|Sat Dec 06 22:00:42 EAT 2015
A97FE25A-1029-4956-BA48-B6A3AE3064FE|Walker|Sybill|Damon|MALE|A202|2015|1990|KSNBFVGW|Sat Dec 06 22:00:42 EAT 2014
98149764-7A26-4688-AB73-B6B4D7980E4D|Forrest|Austin|Joshua|MALE|A203|2015|1995|KANEBHE|Sat Dec 06 22:00:42 EAT 2013
40BE24F7-0FC4-457A-8278-FAA795772822|Gareth|Quemby|Maia|MALE|A204|2015|1990|NDHGHW|Sat Dec 06 22:00:42 EAT 2015
BD7C786D-28F0-498D-A8C6-003AA44BA7B4|Todd|Rhea|Dexter|MALE|A205|2015|1996|WJNNSND|Sat Dec 06 22:00:42 EAT 2014
D5E65F43-12E9-4E6A-A013-9321434B7354|Thaddeus|Wesley|Anthony|MALE|A206|2015|1990|7H2BB|Sat Dec 06 22:00:42 EAT 2015
CBFDAB2C-E872-4821-AD2E-B8CA7F49C327|Micah|Meghan|Neil|MALE|A207|2015|1994|572S|Sat Dec 06 22:00:42 EAT 2014
A1B3A19D-64A2-4A62-A826-AC0341169294|Louis|Fredericka|Dawn|MALE|A208|2015|1998|51282H|Sat Dec 06 22:00:42 EAT 2015
217F42F7-4356-48D5-87E6-7E96CA44CE79|Oscar|Hyacinth|Breanna|MALE|A209|2015|1993|0USHQW2|Sat Dec 06 22:00:42 EAT 2013
139EB611-A803-4526-AFB9-7FBDB59F476D|Palmer|Kato|Marshall|MALE|A210|2015|1992|772SBS|Sat Dec 06 22:00:42 EAT 2014
477FC33A-FE04-4AB0-8B34-900777D5B3DA|Warren|Randall|Faith|MALE|A211|2015|1993|LAKJWSI|Sat Dec 06 22:00:42 EAT 2015
23CD741B-6649-4BBA-A534-25DD0C50CDA7|Stone|Marny|Kelly|MALE|A212|2015|1990|OQWIJEJE|Sat Dec 06 22:00:42 EAT 2014
A7122E4E-769B-4390-999F-B7EAD7F290C3|Tyler|Zorita|Maryam|MALE|A213|2015|1995|JJWIKEHW|Sat Dec 06 22:00:42 EAT 2013
46A7AB1A-E06C-42A5-8C6C-D8993BF4F839|Garrison|Yuli|Jason|MALE|A214|2015|1990|WJIWIIW|Sat Dec 06 22:00:42 EAT 2015
04A0C994-44DC-4CD0-9668-7AE36C3E6EEF|Travis|Amery|Amber|MALE|A215|2015|1996|JWKWWE|Sat Dec 06 22:00:42 EAT 2014
F569D85A-E160-4F4B-9E3C-D0331D345038|Dexter|Rahim|Patricia|MALE|A216|2015|1990|JWJKWE|Sat Dec 06 22:00:42 EAT 2015
C4B7E9A7-DE50-4373-AA51-DF38446B4756|Channing|Moses|Montana|MALE|A217|2015|1994|JLPOS|Sat Dec 06 22:00:42 EAT 2014
A0F4F2BE-4844-42A1-9D98-D3F095AE4F87|Daniel|Camille|Ezekiel|MALE|A218|2015|1998|PAGDHD|Sat Dec 06 22:00:42 EAT 2015
5054F6A5-228B-492E-87C2-788A558A1633|Donovan|Thane|Sawyer|MALE|A219|2015|1993|KAJHSG|Sat Dec 06 22:00:42 EAT 2013
01F368CA-CAEE-4C31-8B02-2D04E3709DD4|Quinn|Mallory|Akeem|MALE|A220|2015|1992|TWMXJ|Sat Dec 06 22:00:42 EAT 2014
5E664942-DDF6-4A75-9CD7-C0E1B68F3D76|Hector|Illiana|Carol|MALE|A221|2015|1993|HAIKMX|Sat Dec 06 22:00:42 EAT 2015
9B46BB38-4AF1-49B7-8100-1B25C478D9F5|Abbot|Aurora|Adara|MALE|A222|2015|1990|HSJQJ|Sat Dec 06 22:00:42 EAT 2014
D48BFC86-D108-4932-9F70-3478E604E830|Kadeem|Melinda|Sasha|MALE|A223|2015|1995|WHJNS|Sat Dec 06 22:00:42 EAT 2013
89B8755A-FDF5-41BA-8C27-B3858435FB86|Coby|Dora|Lane|MALE|A224|2015|1990|BHAIKSN|Sat Dec 06 22:00:42 EAT 2015
7903A066-B9BE-4C1D-B8D4-BB3207FD6FE2|Graham|Tatiana|Whilemina|MALE|A225|2015|1996|6BXNS|Sat Dec 06 22:00:42 EAT 2014
A52DEF60-7318-4176-AC19-FEEB995D02EC|Ashton|Vernon|Jacqueline|MALE|A236|2015|1990|YSNNS|Sat Dec 06 22:00:42 EAT 2015
FC23CD24-E61E-444C-A5D7-520899BED96D|Gage|Kelly|Griffith|MALE|A227|2015|1994|8HSNND|Sat Dec 06 22:00:42 EAT 2014
37EE450B-A4D5-4C13-A29B-93AF948AD2B1|Kadeem|Amir|Patrick|MALE|A228|2015|1998|U7NSSND|Sat Dec 06 22:00:42 EAT 2015
39054B85-CD7B-4E25-8577-EA250AE98CD6|Jerry|Bryar|Ignatius|MALE|A229|2015|1993|8NSNS|Sat Dec 06 22:00:42 EAT 2013
AC6A577C-A7BB-4539-A9B3-32FFF935B8CD|Damon|Suki|Castor|MALE|A230|2015|1992|8WSDNND|Sat Dec 06 22:00:42 EAT 2014
C650A260-BE1A-4E78-97F7-AA8B84591018|Moses|Gil|Dylan|MALE|A231|2015|1993|88USHS|Sat Dec 06 22:00:42 EAT 2015
CDCDA338-33ED-4675-902E-C00D107082ED|Mannix|Sydnee|Jocelyn|MALE|A232|2015|1990|8NSDND|Sat Dec 06 22:00:42 EAT 2014
E76665A4-BC71-4B0E-9FB6-A94976BA204D|Derek|Palmer|Violet|MALE|A233|2015|1995|DS6Y62DD|Sat Dec 06 22:00:42 EAT 2013
A281262A-0F0C-4593-9BBF-34CDA13B79EA|Joshua|Chancellor|TaShya|MALE|A234|2015|1990|NHHWTY2Y|Sat Dec 06 22:00:42 EAT 2015
5CB4E3CB-58DB-4DD0-B42C-5FFA1E55E1C3|Timon|Lillian|Sage|MALE|A235|2015|1996|KLJIP|Sat Dec 06 22:00:42 EAT 2014
9AFDE5BE-F5FD-47F8-8B87-C337A25FC258|Curran|Samantha|Vaughan|MALE|A236|2015|1990|PLIU|Sat Dec 06 22:00:42 EAT 2015
9CCE009F-2C80-40AE-9504-E901C3AC7C0B|Vance|Hedwig|Jena|MALE|A237|2015|1994|IOOOO|Sat Dec 06 22:00:42 EAT 2014
9A2851E1-D22B-458E-9AEC-954F1A40B7C7|Herrod|Nelle|Dorothy|MALE|A238|2015|1998|SDFFE|Sat Dec 06 22:00:42 EAT 2015
01C0BE4A-9618-4593-AE69-340092293313|Bert|September|Renee|MALE|A239|2015|1993|XDDF|Sat Dec 06 22:00:42 EAT 2013
95FDCCC2-0823-49B7-97C1-B83DC3F889D8|Rooney|Christen|Scarlett|MALE|A240|2015|1992|JJRVV|Sat Dec 06 22:00:42 EAT 2014
BA29BACF-52F8-4E5D-92C8-480E1688AF91|Brody|Naomi|Uriah|MALE|A241|2015|1993|DHHFR|Sat Dec 06 22:00:42 EAT 2015
29812CEA-1104-40EE-A9A0-3A25A83D8396|Dean|Cody|Kieran|MALE|A242|2015|1990|DDDF|Sat Dec 06 22:00:42 EAT 2014
6E6D8BE4-45FD-465E-A975-D6CC3F4B1221|Tarik|Sylvia|Simone|MALE|A243|2015|1995|aadff|Sat Dec 06 22:00:42 EAT 2013
F76334C5-C248-4BD3-85F4-2F87C93745A3|Ian|Sean|Debra|MALE|A244|2015|1990|33SD|Sat Dec 06 22:00:42 EAT 2015
DD295E0B-BFE2-4458-86DF-E8AA6165E8E1|Dylan|Oscar|Orla|MALE|A245|2015|1996|5VCG|Sat Dec 06 22:00:42 EAT 2014
963258B3-7F25-4DB5-AFF2-98DF86E61D61|Brandon|Calvin|Chiquita|MALE|A246|2015|1990|J88Q77|Sat Dec 06 22:00:42 EAT 2014
6672E5BB-A42F-4648-AAAA-990B0FFDF93B|Rashad|Elmo|Margaret|MALE|A247|2015|1994|AGGQQ|Sat Dec 06 22:00:42 EAT 2014
D6959C41-8569-4431-9F9E-69B19C55085B|Xavier|Lilah|Kirestin|MALE|A248|2015|1998|DHQ|Sat Dec 06 22:00:42 EAT 2015
7C9CE7BF-3063-4C4D-B076-37262123E32F|Palmer|Ivor|Levi|MALE|A249|2015|1993|HHQ|Sat Dec 06 22:00:42 EAT 2013
6FBBB25E-B826-4AE0-ACB7-322119D81AAF|Colin|Sigourney|Gregory|MALE|A250|2015|1992|WJJ|Sat Dec 06 22:00:42 EAT 2014
F300F936-7801-4312-8CBF-29FD34D0133E|Chancellor|Carter|Phyllis|MALE|A251|2015|1993|J88QWQ77|Sat Dec 06 22:00:42 EAT 2015
2D42B1B9-DB8D-4EB7-BEB2-66E1FD099298|Lucius|Tanya|Nora|MALE|A252|2015|1990|QQWEE|Sat Dec 06 22:00:42 EAT 2014
F606121C-5F68-4B3A-9E8B-08658659303F|Zeph|Brynne|Samantha|MALE|A233|2015|1995|HGAW2|Sat Dec 06 22:00:42 EAT 2013
44E37FF3-55B1-46AA-8640-6EF64C7A88F9|Brody|Quemby|Ruth|MALE|A254|2015|1990|UUQQBS|Sat Dec 06 22:00:42 EAT 2015
E56B1268-FCAF-465E-BB6D-6105F29903BB|Harper|Jermaine|Orson|MALE|A255|2015|1996|BSHHQ|Sat Dec 06 22:00:42 EAT 2014
09FEE751-2B4D-4A94-9E08-8308565A5839|Flynn|Kristen|Scarlett|MALE|A256|2015|1990|BASHW|Sat Dec 06 22:00:42 EAT 2015
E20BB62F-A3B7-4B4E-BEA5-9488E265C682|Ian|Lacota|Derek|MALE|A257|2015|1994|YY2B|Sat Dec 06 22:00:42 EAT 2014
3B4A6981-8FAE-44D7-A51A-8997010D8D88|Avram|Elijah|Bevis|MALE|A258|2015|1998|YYSD|Sat Dec 06 22:00:42 EAT 2015
19286851-DC25-46AD-AF8A-187742201267|Devin|Iola|Sharon|MALE|A259|2015|1993|AHHH|Sat Dec 06 22:00:42 EAT 2013
2C6AFEB3-41F8-4B9F-AEBE-3749DEA68E7D|Michael|Armando|Patience|MALE|A260|2015|1992|SBWY2|Sat Dec 06 22:00:42 EAT 2014
4B96EED2-4B0F-4AB0-9D29-9E796687AF3D|Galvin|Norman|Daniel|MALE|A261|2015|1993|SJAJY|Sat Dec 06 22:00:42 EAT 2015
AE432E24-87EE-4716-BE7A-FB522B76B55A|Chase|Randall|Bree|MALE|A262|2015|1990|NSY66|Sat Dec 06 22:00:42 EAT 2014
F6F70113-88CA-4365-AAAA-4846FA9592C8|Quamar|Derek|Chiquita|MALE|A263|2015|1995|6HX7W|Sat Dec 06 22:00:42 EAT 2013
58413CCF-5787-4BE4-AE10-6D50EC8A9EB7|Louis|Jada|Kimberley|MALE|A264|2015|1990|JHXYW|Sat Dec 06 22:00:42 EAT 2015
85A892CB-2AA4-4215-A13B-1FCC5FDD3CED|Marshall|Jillian|Lionel|MALE|A265|2015|1996|XHTW|Sat Dec 06 22:00:42 EAT 2014
